numbers,valid,location
(665) 600-9044,False,n/a
(261) 872-8021,False,n/a
(692) 238-8354,False,n/a
(915) 612-3196,True,Texas
(297) 529-7696,False,n/a
(520) 815-5811,True,Arizona
(888) 931-5885,True,n/a
(778) 621-2242,True,British Columbia
(569) 552-2601,False,n/a
(289) 899-5437,True,Ontario
(924) 578-1221,False,n/a
(488) 623-5887,False,n/a
(528) 759-1572,False,n/a
(467) 713-7769,False,n/a
(250) 963-0555,True,British Columbia
(509) 878-4353,True,Washington State
(529) 747-8654,False,n/a
(986) 515-4085,True,Idaho
(342) 448-6751,False,n/a
(928) 925-4718,True,Arizona
(203) 285-3842,True,n/a
(906) 482-8457,True,Michigan
(865) 569-2970,True,Tennessee
(585) 322-2308,True,New York
(309) 464-9214,True,Illinois
(435) 298-9119,True,Utah
(332) 841-3712,True,"New York, NY"
(589) 665-6674,False,n/a
(980) 903-9215,True,North Carolina
(426) 511-9892,False,n/a
(506) 765-0835,True,New Brunswick
(547) 690-2262,False,n/a
(738) 638-8135,False,n/a
(638) 450-1138,False,n/a
(868) 462-5028,True,n/a
(221) 694-5572,False,n/a
(392) 693-7422,False,n/a
(347) 888-4290,True,New York
(632) 802-4845,False,n/a
(944) 946-1478,False,n/a
(544) 780-3676,True,n/a
(869) 539-7123,False,n/a
(728) 529-9732,False,n/a
(889) 703-0517,False,n/a
(496) 853-8181,False,n/a
(505) 636-9108,True,New Mexico
(941) 306-0802,True,Florida
(657) 291-4367,True,California
(496) 281-3652,False,n/a
(668) 959-0861,False,n/a
(356) 617-0547,False,n/a
(600) 231-0886,True,n/a
(882) 378-6244,False,n/a
(499) 336-2531,False,n/a
(256) 916-1940,True,Alabama
(869) 650-0966,False,n/a
(275) 718-5050,False,n/a
(849) 433-5566,True,n/a
(406) 470-4217,True,Montana
(315) 606-9953,True,New York
(541) 700-7445,True,Oregon
(685) 551-3856,False,n/a
(337) 817-1224,True,Louisiana
(729) 511-2194,False,n/a
(332) 680-2938,True,"New York, NY"
(663) 892-5778,False,n/a
(305) 382-7419,True,Florida
(278) 334-5122,False,n/a
(942) 572-3268,False,n/a
(754) 752-6567,True,Florida
(913) 395-8746,True,Kansas
(293) 812-4185,False,n/a
(945) 493-0168,False,n/a
(336) 515-5576,True,North Carolina
(887) 681-7401,False,n/a
(746) 998-6020,False,n/a
(523) 396-1320,False,n/a
(578) 643-8520,False,n/a
(898) 326-1985,False,n/a
(725) 610-7263,True,Nevada
(437) 572-3425,True,Ontario
(928) 363-8684,True,Arizona
(605) 622-5991,True,South Dakota
(355) 788-9447,False,n/a
(271) 677-3308,False,n/a
(572) 623-9960,False,n/a
(374) 913-6521,False,n/a
(352) 890-0557,True,Florida
(839) 843-8332,False,n/a
(261) 998-4204,False,n/a
(759) 680-5096,False,n/a
(241) 775-9272,False,n/a
(876) 261-7867,True,n/a
(309) 591-1948,True,Illinois
(363) 504-0293,False,n/a
(315) 666-4525,True,New York
(425) 834-6677,True,Washington State
(570) 825-0215,True,Pennsylvania
(674) 787-6777,False,n/a
(460) 818-8822,False,n/a
(513) 777-0831,True,Ohio
(553) 291-7871,False,n/a
(459) 477-0152,False,n/a
(866) 485-2597,True,n/a
(517) 587-0332,True,Michigan
(769) 882-9916,True,Mississippi
(627) 506-3632,False,n/a
(956) 395-6414,True,Texas
(790) 622-3180,False,n/a
(975) 449-6788,False,n/a
(845) 749-4374,True,New York
(720) 694-8614,True,Colorado
(519) 795-9965,True,Ontario
(809) 787-3446,True,n/a
(640) 882-7826,True,New Jersey
(232) 728-4954,False,n/a
(570) 578-2928,True,Pennsylvania
(837) 406-4775,False,n/a
(762) 792-8129,True,Georgia
(596) 274-2292,False,n/a
(472) 425-0373,False,n/a
(682) 980-8590,True,Texas
(882) 889-3347,False,n/a
(639) 924-1788,True,Saskatchewan
(550) 478-4552,False,n/a
(685) 261-4589,False,n/a
(393) 220-9246,False,n/a
(582) 584-5132,False,n/a
(722) 895-6064,False,n/a
(600) 544-2110,True,n/a
(263) 507-5238,False,n/a
(249) 511-9733,True,Ontario
(897) 990-6767,False,n/a
(620) 483-4050,True,Kansas
(553) 992-2704,False,n/a
(306) 708-8449,True,Saskatchewan
(618) 890-5342,True,Illinois
(530) 281-1284,True,California
(296) 537-2743,False,n/a
(900) 241-5089,True,n/a
(786) 977-4125,True,Florida
(932) 233-8922,False,n/a
(235) 459-2390,False,n/a
(828) 742-5447,True,North Carolina
(365) 728-4845,True,Ontario
(573) 821-2664,True,Missouri
(868) 760-0011,True,n/a
(656) 376-5001,False,n/a
(547) 887-6876,False,n/a
(387) 220-8011,False,n/a
(964) 726-4721,False,n/a
(768) 986-3282,False,n/a
(718) 683-4310,True,New York
(924) 410-8465,False,n/a
(221) 555-6377,False,n/a
(326) 423-4641,False,n/a
(216) 306-8367,True,Ohio
(763) 396-2717,True,Minnesota
(855) 201-6349,True,n/a
(397) 705-6649,False,n/a
(654) 315-4830,False,n/a
(781) 239-5913,True,Massachusetts
(958) 498-8344,False,n/a
(822) 849-6489,False,n/a
(513) 703-4073,True,Ohio
(954) 844-9300,True,Florida
(450) 331-7809,True,Quebec
(548) 674-5411,True,Ontario
(924) 379-0233,False,n/a
(619) 621-8816,True,California
(756) 808-5654,False,n/a
(929) 334-4891,True,New York
(858) 479-7134,True,California
(290) 922-6670,False,n/a
(580) 681-2744,True,Oklahoma
(471) 434-0741,False,n/a
(792) 686-5197,False,n/a
(635) 474-4268,False,n/a
(994) 267-4427,False,n/a
(897) 784-3468,False,n/a
(479) 428-0139,True,Arkansas
(800) 252-7787,True,n/a
(603) 882-7247,True,New Hampshire
(678) 819-4763,True,Georgia
(304) 781-6961,True,West Virginia
(890) 557-9499,False,n/a
(653) 417-6693,False,n/a
(708) 985-5378,True,Illinois
(771) 864-0435,False,n/a
(986) 376-8479,True,Idaho
(449) 508-7512,False,n/a
(877) 599-1175,True,n/a
(799) 971-7332,False,n/a
(477) 996-6520,False,n/a
(238) 843-4806,False,n/a
(455) 746-5756,False,n/a
(516) 575-2438,True,New York
(587) 603-7366,True,Alberta
(300) 843-4942,False,n/a
(214) 471-9035,True,Texas
(402) 858-5466,True,Nebraska
(354) 832-9525,False,n/a
(887) 934-4183,False,n/a
(361) 878-2323,True,Texas
(345) 341-1361,False,Cayman Islands
(307) 497-3709,True,Wyoming
(322) 780-8237,False,n/a
(467) 477-1146,False,n/a
(468) 293-8719,False,n/a
(388) 227-6287,False,n/a
(991) 576-1375,False,n/a
(935) 406-6506,False,n/a
(986) 876-5342,True,Idaho
(715) 671-3357,True,Wisconsin
(871) 614-4200,False,n/a
(273) 734-5615,False,n/a
(391) 833-6655,False,n/a
(992) 290-5928,False,n/a
(350) 738-0571,False,n/a
(797) 381-0235,False,n/a
(938) 842-2579,True,Alabama
(797) 317-0869,False,n/a
(596) 939-9772,False,n/a
(590) 687-3082,False,n/a
(925) 816-1952,True,California
(486) 646-0347,False,n/a
(460) 371-3846,False,n/a
(612) 999-3567,True,Minnesota
(558) 511-5946,False,n/a
(245) 844-5239,False,n/a
(603) 529-0605,True,New Hampshire
(527) 358-6102,False,n/a
(474) 879-3780,False,n/a
(866) 211-7827,True,n/a
(398) 608-1016,False,n/a
(460) 661-0927,False,n/a
(423) 464-0692,True,Tennessee
(505) 654-5240,True,New Mexico
(237) 756-1216,False,n/a
(729) 376-8334,False,n/a
(413) 817-8945,True,Massachusetts
(410) 554-9811,True,Maryland
(858) 203-9121,True,California
(742) 831-3231,False,n/a
(391) 448-4087,False,n/a
(546) 753-0906,False,n/a
(865) 571-0613,True,Tennessee
(350) 883-1394,False,n/a
(720) 431-8196,True,Colorado
(980) 508-1098,True,North Carolina
(340) 442-6133,False,n/a
(205) 254-1657,True,Alabama
(754) 267-9112,True,Florida
(573) 893-5633,True,Missouri
(958) 656-6578,False,n/a
(212) 432-7821,True,"New York, NY"
(557) 778-4892,False,n/a
(224) 265-7424,True,Illinois
(750) 944-5236,False,n/a
(351) 844-2222,True,Massachusetts
(201) 621-9774,True,New Jersey
(407) 204-5694,True,Florida
(297) 499-2644,False,n/a
(253) 906-5233,True,Washington State
(956) 574-9288,True,Texas
(808) 524-5164,True,Hawaii
(512) 632-6195,True,Texas
(710) 790-9926,True,n/a
(873) 510-5675,True,Quebec
(859) 541-2342,True,Kentucky
(276) 884-0571,True,Virginia
(560) 829-5550,False,n/a
(732) 445-6987,True,New Jersey
(519) 842-5311,True,Ontario
(467) 288-6206,False,n/a
(634) 454-2541,False,n/a
(809) 659-1202,True,n/a
(974) 930-2877,False,n/a
(808) 996-1519,True,Hawaii
(401) 723-7964,True,Rhode Island
(544) 973-3339,True,n/a
(446) 691-1916,False,n/a
(914) 384-5713,True,New York
(888) 302-7146,True,n/a
(456) 614-1831,False,n/a
(548) 786-4467,True,Ontario
(667) 359-5701,True,Maryland
(951) 399-2988,True,California
(330) 974-6624,True,Ohio
(945) 400-1064,False,n/a
(849) 641-5289,True,n/a
(760) 424-4617,True,California
(781) 531-9307,True,Massachusetts
(572) 633-8281,False,n/a
(541) 875-4590,True,Oregon
(963) 792-3430,False,n/a
(548) 613-8899,True,Ontario
(807) 502-4243,True,Ontario
(871) 694-3721,False,n/a
(304) 402-3419,True,West Virginia
(867) 685-5199,True,Northwest Territories/Nunavut/Yukon
(723) 524-6295,False,n/a
(600) 571-0829,True,n/a
(611) 693-5440,False,n/a
(617) 333-9114,True,Massachusetts
(727) 674-3420,True,Florida
(570) 331-7571,True,Pennsylvania
(463) 858-7182,True,Indiana
(271) 793-0644,False,n/a
(839) 878-3055,False,n/a
(773) 494-0713,True,"Chicago, IL"
(353) 944-9077,False,n/a
(281) 974-9338,True,Texas
(515) 568-3652,True,Iowa
(605) 488-2534,True,South Dakota
(431) 232-2855,True,Manitoba
(630) 602-0063,True,Illinois
(241) 930-6313,False,n/a
(601) 890-9753,True,Mississippi
(833) 273-3443,True,n/a
(464) 266-9843,False,n/a
(708) 689-4285,True,Illinois
(231) 411-4934,True,Michigan
(761) 230-3797,False,n/a
(677) 493-4486,False,n/a
(353) 430-9613,False,n/a
(890) 328-5480,False,n/a
(325) 549-6444,True,Texas
(876) 412-7461,True,n/a
(207) 455-3284,True,Maine
(775) 367-6358,True,Nevada
(937) 370-1386,True,Ohio
(226) 524-6154,True,Ontario
(818) 374-7525,True,California
(449) 366-3780,False,n/a
(428) 903-2471,False,n/a
(685) 735-6840,False,n/a
(485) 445-4202,False,n/a
(633) 637-9821,False,n/a
(249) 821-8606,True,Ontario
(347) 432-2763,True,New York
(358) 483-0975,False,n/a
(923) 208-2596,False,n/a
(476) 602-7806,False,n/a
(681) 856-9417,True,West Virginia
(241) 684-0350,False,n/a
(769) 315-2878,True,Mississippi
(417) 277-9474,True,Missouri
(887) 503-3476,False,n/a
(685) 385-5632,False,n/a
(959) 947-4406,True,Connecticut
(312) 829-6009,True,"Chicago, IL"
(354) 563-0818,False,n/a
(955) 994-8006,False,n/a
(521) 396-1594,True,n/a
(697) 496-0540,False,n/a
(616) 656-8860,True,Michigan
(208) 391-0825,True,Idaho
(580) 779-2721,True,Oklahoma
(412) 668-2476,True,Pennsylvania
(275) 799-2298,False,n/a
(833) 402-5922,True,n/a
(951) 602-2118,True,California
(522) 378-1782,True,n/a
(228) 448-2445,True,Mississippi
(701) 288-9652,True,North Dakota
(596) 569-1091,False,n/a
(271) 699-7449,False,n/a
(686) 973-7806,False,n/a
(550) 202-1520,False,n/a
(762) 252-9594,True,Georgia
(930) 327-4944,True,Indiana
(811) 721-0014,False,n/a
(955) 555-2836,False,n/a
(667) 851-4486,True,Maryland
(672) 605-9195,True,British Columbia
(603) 468-4448,True,New Hampshire
(572) 386-9079,False,n/a
(429) 586-9264,False,n/a
(723) 422-9290,False,n/a
(398) 350-0884,False,n/a
(564) 672-7025,True,Washington State
(279) 469-8523,True,California
(744) 300-1394,False,n/a
(800) 430-0851,True,n/a
(671) 445-5414,False,n/a
(583) 702-6004,False,n/a
(802) 647-6477,True,Vermont
(565) 438-8736,False,n/a
(505) 406-3280,True,New Mexico
(254) 950-2474,True,Texas
(215) 860-6703,True,Pennsylvania
(992) 327-0172,False,n/a
(345) 735-4054,False,Cayman Islands
(811) 995-5343,False,n/a
(506) 487-2915,True,New Brunswick
(952) 570-5309,True,Minnesota
(640) 241-0090,True,New Jersey
(475) 232-0719,True,Connecticut
(995) 322-0854,False,n/a
(759) 282-1133,False,n/a
(690) 532-4916,False,n/a
(655) 787-2351,False,n/a
(677) 371-2282,False,n/a
(866) 545-0273,True,n/a
(397) 573-2359,False,n/a
(660) 504-6620,True,Missouri
(256) 806-2453,True,Alabama
(625) 440-2861,False,n/a
(214) 753-0657,True,Texas
(820) 746-0519,True,California
(299) 933-2442,False,n/a
(227) 833-8535,False,n/a
(655) 974-2287,False,n/a
(986) 633-8110,True,Idaho
(235) 274-4099,False,n/a
(712) 862-8024,True,Iowa
(821) 307-2616,False,n/a
(351) 700-1450,True,Massachusetts
(443) 859-9991,True,Maryland
(366) 858-9287,False,n/a
(808) 598-0460,True,Hawaii
(340) 776-8026,True,n/a
(934) 432-5979,True,"New York, NY"
(348) 530-4673,False,n/a
(768) 828-4964,False,n/a
(837) 628-3505,False,n/a
(614) 961-7923,True,Ohio
(396) 225-7921,False,n/a
(942) 655-3380,False,n/a
(923) 917-2499,False,n/a
(575) 554-8268,True,New Mexico
(560) 335-8397,False,n/a
(821) 978-7695,False,n/a
(918) 541-3796,True,Oklahoma
(645) 648-8177,False,n/a
(241) 580-9396,False,n/a
(957) 279-8280,False,n/a
(330) 404-8687,True,Ohio
(364) 732-4221,True,Kentucky
(956) 898-3030,True,Texas
(367) 298-4909,False,n/a
(822) 568-6082,False,n/a
(790) 745-5379,False,n/a
(983) 630-6382,False,n/a
(997) 916-5216,False,n/a
(647) 331-2511,True,Ontario
(809) 573-0656,True,n/a
(652) 317-2864,False,n/a
(604) 500-5710,True,British Columbia
(695) 484-1132,False,n/a
(922) 936-1667,False,n/a
(560) 612-6033,False,n/a
(676) 626-7769,False,n/a
(907) 760-3165,True,Alaska
(773) 911-1242,True,"Chicago, IL"
(645) 771-8279,False,n/a
(651) 304-7780,True,Minnesota
(457) 670-5953,False,n/a
(761) 826-3193,False,n/a
(404) 297-5596,True,Georgia
(465) 577-6230,False,n/a
(626) 306-2865,True,California
(981) 992-6516,False,n/a
(358) 756-9287,False,n/a
(435) 741-9471,True,Utah
(215) 778-8436,True,Pennsylvania
(649) 575-4470,False,n/a
(798) 758-9877,False,n/a
(823) 785-8939,False,n/a
(854) 538-1060,True,Ohio
(915) 430-5311,True,Texas
(401) 591-3699,True,Rhode Island
(482) 579-3741,False,n/a
(405) 483-6257,True,Oklahoma
(962) 947-6363,False,n/a
(526) 847-1763,False,n/a
(627) 268-0539,False,n/a
(546) 550-5024,False,n/a
(605) 855-9554,True,South Dakota
(478) 390-8455,True,Georgia
(523) 833-7396,False,n/a
(881) 551-5454,False,n/a
(684) 569-7844,False,n/a
(900) 405-5566,True,n/a
(513) 369-1629,True,Ohio
(806) 988-7936,True,Texas
(347) 663-2610,True,New York
(944) 712-9638,False,n/a
(306) 627-0835,True,Saskatchewan
(497) 968-0691,False,n/a
(618) 661-4238,True,Illinois
(428) 745-4986,False,n/a
(888) 285-5658,True,n/a
(441) 939-1307,False,n/a
(234) 385-7221,True,Ohio
(848) 583-5390,True,New Jersey
(919) 398-4768,True,North Carolina
(285) 843-7030,False,n/a
(501) 402-4076,True,Arkansas
(372) 224-0303,False,n/a
(488) 557-7268,False,n/a
(600) 458-1576,True,n/a
(314) 857-4076,True,Missouri
(675) 318-1961,False,n/a
(879) 596-0510,False,n/a
(786) 865-7379,True,Florida
(595) 489-7618,False,n/a
(446) 920-0450,False,n/a
(277) 246-1616,False,n/a
(323) 458-7776,True,California
(251) 941-5609,True,Alabama
(656) 518-0215,False,n/a
(650) 244-1984,True,California
(537) 524-1243,False,n/a
(385) 831-5495,True,Utah
(351) 322-9301,True,Massachusetts
(585) 902-0128,True,New York
(353) 730-5770,False,n/a
(937) 808-7442,True,Ohio
(558) 414-7899,False,n/a
(979) 548-8665,True,Texas
(562) 303-4405,True,California
(467) 779-6095,False,n/a
(308) 949-5308,True,Nebraska
(598) 931-0662,False,n/a
(966) 256-3625,False,n/a
(972) 586-3711,True,Texas
(662) 806-9999,True,Mississippi
(963) 507-6309,False,n/a
(774) 298-6112,True,Massachusetts
(965) 633-8754,False,n/a
(956) 928-5428,True,Texas
(561) 813-7731,True,Florida
(331) 833-4418,True,Illinois
(374) 214-1221,False,n/a
(300) 971-0013,False,n/a
(388) 683-6673,False,n/a
(375) 380-6480,False,n/a
(905) 434-2399,True,n/a
(360) 844-5465,True,Washington State
(475) 610-9920,True,Connecticut
(969) 712-3209,False,n/a
(571) 807-6004,True,Virginia
(541) 313-8895,True,Oregon
(779) 861-4123,True,Illinois
(303) 774-2330,True,Colorado
(944) 395-9951,False,n/a
(939) 556-0691,True,n/a
(993) 800-1969,False,n/a
(972) 387-6051,True,Texas
(784) 967-1286,False,n/a
(333) 767-1323,False,n/a
(207) 710-3791,True,Maine
(470) 420-3568,True,Georgia
(379) 705-9173,False,n/a
(360) 464-8767,True,Washington State
(944) 358-5581,False,n/a
(229) 880-6590,True,Georgia
(972) 395-7123,True,Texas
(707) 688-3859,True,California
(272) 882-7496,True,Pennsylvania
(798) 820-5959,False,n/a
(531) 880-5495,True,Nebraska
(298) 684-6528,False,n/a
(453) 303-8162,False,n/a
(680) 891-7470,True,New York
(437) 532-2545,True,Ontario
(457) 589-0387,False,n/a
(799) 867-7659,False,n/a
(928) 447-6523,True,Arizona
(420) 370-5228,False,n/a
(655) 449-1265,False,n/a
(635) 728-9711,False,n/a
(854) 778-5688,True,Ohio
(969) 447-7231,False,n/a
(995) 724-4659,False,n/a
(902) 356-3841,True,Nova Scotia/Prince Edward Island
(972) 367-1750,True,Texas
(340) 262-0782,False,n/a
(493) 852-6503,False,n/a
(317) 389-4054,True,Indiana
(441) 301-7659,True,n/a
(737) 290-9345,True,Texas
(497) 954-5823,False,n/a
(769) 625-7662,True,Mississippi
(239) 522-3905,True,Florida
(620) 420-2489,True,Kansas
(936) 883-1644,True,Texas
(827) 796-5792,False,n/a
(950) 703-8870,False,n/a
(499) 740-7083,False,n/a
(733) 709-3190,False,n/a
(811) 417-9079,False,n/a
(923) 888-8775,False,n/a
(694) 532-7557,False,n/a
(873) 494-2154,True,Quebec
(713) 686-7768,True,"Houston, TX"
(294) 546-6102,False,n/a
(896) 293-2053,False,n/a
(552) 339-2614,False,n/a
(552) 996-3136,False,n/a
(280) 214-3289,False,n/a
(653) 866-8471,False,n/a
(353) 265-5068,False,n/a
(704) 746-4087,True,North Carolina
(813) 652-2212,True,Florida
(490) 419-8546,False,n/a
(353) 296-9288,False,n/a
(466) 887-8227,False,n/a
(341) 719-7848,True,California
(306) 871-4455,True,Saskatchewan
(226) 495-6289,True,Ontario
(789) 673-3932,False,n/a
(797) 445-1281,False,n/a
(436) 364-6251,False,n/a
(895) 965-3749,False,n/a
(592) 383-6815,False,n/a
(961) 397-3545,False,n/a
(740) 603-6052,True,Ohio
(696) 863-6566,False,n/a
(398) 338-7102,False,n/a
(709) 768-1504,True,Newfoundland and Labrador
(772) 330-3137,True,Florida
(890) 291-7430,False,n/a
(700) 778-5925,False,n/a
(823) 307-1792,False,n/a
(588) 384-3252,True,n/a
(251) 643-3303,True,Alabama
(287) 804-1634,False,n/a
(572) 739-1320,False,n/a
(283) 963-0528,True,Ohio
(577) 545-1176,True,n/a
(581) 460-6192,True,Quebec
(927) 444-9486,False,n/a
(623) 653-9037,True,Arizona
(596) 677-8231,False,n/a
(281) 883-0811,True,Texas
(962) 661-0461,False,n/a
(393) 522-0848,False,n/a
(942) 841-1278,False,n/a
(312) 683-1579,True,"Chicago, IL"
(529) 569-0920,False,n/a
(850) 782-6852,True,Florida
(761) 231-8665,False,n/a
(626) 953-1097,True,California
(909) 756-7979,True,California
(661) 361-5097,True,California
(332) 750-2862,True,"New York, NY"
(269) 263-1255,True,Michigan
(384) 334-8729,False,n/a
(385) 849-3626,True,Utah
(794) 265-9389,False,n/a
(642) 345-4057,False,n/a
(370) 731-4229,False,n/a
(575) 967-1406,True,New Mexico
(673) 480-4220,False,n/a
(869) 800-8207,False,n/a
(550) 401-1972,False,n/a
(241) 783-9030,False,n/a
(866) 305-9485,True,n/a
(772) 572-4173,True,Florida
(355) 587-3885,False,n/a
(415) 321-5678,True,California
(495) 353-5067,False,n/a
(990) 201-1072,False,n/a
(905) 505-3895,True,n/a
(505) 533-4154,True,New Mexico
(304) 491-4743,True,West Virginia
(518) 477-2844,True,New York
(505) 436-7370,True,New Mexico
(489) 509-7540,False,n/a
(292) 502-0691,False,n/a
(921) 874-5700,False,n/a
(218) 709-2313,True,Minnesota
(336) 234-2570,True,North Carolina
(849) 981-9469,True,n/a
(832) 868-8826,True,Texas
(246) 581-1053,False,n/a
(421) 305-7272,False,n/a
(604) 856-0847,True,British Columbia
(889) 533-4876,False,n/a
(547) 238-1700,False,n/a
(571) 880-2044,True,Virginia
(519) 440-4987,True,Ontario
(517) 394-6370,True,Michigan
(482) 806-9265,False,n/a
(830) 495-8350,True,Texas
(475) 474-2729,True,Connecticut
(335) 770-9631,False,n/a
(418) 537-7400,True,Quebec
(351) 737-5230,True,Massachusetts
(740) 205-5648,True,Ohio
(625) 935-3640,False,n/a
(840) 876-1144,False,n/a
(545) 917-2371,False,n/a
(582) 453-2848,False,n/a
(768) 824-8275,False,n/a
(925) 580-2319,True,California
(910) 910-6015,True,North Carolina
(716) 795-7766,True,New York
(742) 703-9372,False,n/a
(836) 993-2433,False,n/a
(994) 491-3869,False,n/a
(683) 802-7866,False,n/a
(239) 678-1806,True,Florida
(682) 422-5647,True,Texas
(686) 442-0567,False,n/a
(276) 891-4874,True,Virginia
(577) 364-3293,True,n/a
(836) 842-5597,False,n/a
(727) 967-3530,True,Florida
(977) 494-5988,False,n/a
(731) 632-8169,True,Tennessee
(345) 538-7126,False,Cayman Islands
(409) 974-4719,True,Texas
(640) 941-0621,True,New Jersey
(465) 530-2123,False,n/a
(566) 506-6582,True,n/a
(759) 351-9885,False,n/a
(662) 227-2509,True,Mississippi
(585) 757-7999,True,New York
(917) 217-5548,True,New York
(576) 721-3771,False,n/a
(554) 415-6884,False,n/a
(888) 532-0923,True,n/a
(463) 399-2638,True,Indiana
(899) 649-8496,False,n/a
(957) 939-9900,False,n/a
(892) 650-8296,False,n/a
(243) 671-6463,False,n/a
(974) 234-6923,False,n/a
(421) 654-8716,False,n/a
(217) 937-7290,True,Illinois
(251) 888-3843,True,Alabama
(767) 358-6619,False,n/a
(828) 413-4929,True,North Carolina
(305) 668-1350,True,Florida
(771) 516-0188,False,n/a
(289) 727-6510,True,Ontario
(866) 493-5051,True,n/a
(800) 845-0868,True,n/a
(259) 477-0352,False,n/a
(449) 531-3974,False,n/a
(752) 876-9124,False,n/a
(295) 391-5221,False,n/a
(996) 872-1389,False,n/a
(765) 387-5077,True,Indiana
(225) 618-8343,True,Louisiana
(930) 668-7915,True,Indiana
(535) 217-5268,False,n/a
(470) 522-5098,True,Georgia
(529) 226-8765,False,n/a
(989) 973-8634,True,Michigan
(991) 795-9090,False,n/a
(491) 563-2658,False,n/a
(548) 623-6642,True,Ontario
(424) 592-3644,True,California
(842) 706-1591,False,n/a
(494) 544-6164,False,n/a
(921) 538-7168,False,n/a
(677) 576-2253,False,n/a
(706) 716-4288,True,Georgia
(290) 570-9941,False,n/a
(832) 357-8504,True,Texas
(864) 934-2309,True,South Carolina
(467) 882-0986,False,n/a
(800) 797-1183,True,n/a
(490) 739-0307,False,n/a
(409) 546-4074,True,Texas
(942) 695-7834,False,n/a
(273) 583-1926,False,n/a
(760) 435-4026,True,California
(664) 628-4132,False,n/a
(357) 378-5412,False,n/a
(708) 714-0322,True,Illinois
(623) 373-3611,True,Arizona
(763) 484-0733,True,Minnesota
(228) 818-3461,True,Mississippi
(475) 633-3252,True,Connecticut
(897) 540-6027,False,n/a
(301) 842-1023,True,Maryland
(853) 447-3585,False,n/a
(283) 466-1897,True,Ohio
(220) 559-1153,True,Ohio
(813) 698-4203,True,Florida
(753) 816-0011,False,n/a
(595) 227-1152,False,n/a
(328) 207-5273,False,n/a
(265) 806-9573,False,n/a
(666) 861-5801,False,n/a
